Doctor ID,Name,Specialization,Years of Experience,Affiliation,Average Rating
CARDI_01,Dr. Jo Richardson,Cardiologist,33,"New Amyland Hospital, KS",4.46
CARDI_02,Dr. Kelly Jones,Cardiologist,19,"Port Dylan Hospital, TX",4.92
CARDI_03,Dr. Jerry Saunders,Cardiologist,17,"Jonathanview Hospital, AR",3.91
CARDI_04,Dr. David Willis,Cardiologist,21,"Port Amanda Hospital, PA",4.12
CARDI_05,Dr. Gabriel Valdez,Cardiologist,27,"East Sarah Hospital, TN",3.73
CARDI_06,Dr. Melissa Johnson,Cardiologist,26,"Hardingmouth Hospital, IN",4.99
CARDI_07,Dr. Cassandra Black,Cardiologist,29,"Merrittborough Hospital, VT",4.43
CARDI_08,Dr. Kara Schneider,Cardiologist,29,"East Justin Hospital, OH",3.72
CARDI_09,Dr. Kaitlin Black,Cardiologist,9,"North Jennifer Hospital, ID",4.55
CARDI_10,Dr. Angela Shaw,Cardiologist,27,"Danielmouth Hospital, MO",3.68
NEURO_01,Dr. Christine Graves,Neurologist,19,"Lake Nicoleborough Hospital, NM",3.9
NEURO_02,Dr. Anthony Hayes,Neurologist,18,"Armstronghaven Hospital, NE",4.45
NEURO_03,Dr. Steven Conley,Neurologist,25,"North Lorettabury Hospital, VT",4.23
NEURO_04,Dr. Gerald Turner,Neurologist,31,"Atkinsberg Hospital, UT",4.85
NEURO_05,Dr. Christopher Tucker,Neurologist,21,"Jamesland Hospital, MA",3.84
NEURO_06,Dr. Steven Walker,Neurologist,31,"Port Stevebury Hospital, MI",4.01
NEURO_07,Dr. Michael Castillo,Neurologist,15,"Newtonberg Hospital, NV",4.15
NEURO_08,Dr. Jessica Richard,Neurologist,11,"South Jacob Hospital, OH",4.09
NEURO_09,Dr. Melanie Meyers,Neurologist,39,"North Christineview Hospital, MD",4.05
NEURO_10,Dr. William Ruiz,Neurologist,38,"Jessicaburgh Hospital, CA",3.96
DERMA_01,Dr. Jose Chan,Dermatologist,31,"Perezland Hospital, NV",3.74
DERMA_02,Dr. Samuel Pope,Dermatologist,29,"North Nathan Hospital, MT",4.48
DERMA_03,Dr. Morgan Smith,Dermatologist,37,"Port Sherry Hospital, OH",3.57
DERMA_04,Dr. Jonathan Baker,Dermatologist,10,"Lake Christinebury Hospital, WA",4.76
DERMA_05,Dr. Mary Clayton,Dermatologist,39,"Port David Hospital, AK",4.39
DERMA_06,Dr. Jessica Clark,Dermatologist,13,"Littleborough Hospital, MT",4.13
DERMA_07,Dr. Lisa Crawford,Dermatologist,26,"Lewischester Hospital, VT",4.23
DERMA_08,Dr. Amanda Barron,Dermatologist,40,"Lake Stephen Hospital, IL",3.51
